rank,title,date,artist,region,streams
1,Recairei - Ao Vivo,2021-01-01,Os Barões Da Pisadinha,Brazil,1611265.0
10,Lance Individual,2021-01-01,Jorge & Mateus,Brazil,936826.0
9,Amor da Despedida,2021-01-01,"Os Barões Da Pisadinha, Fernando & Sorocaba",Brazil,976177.0
8,Rita,2021-01-01,Tierry,Brazil,990441.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-01,Zé Neto & Cristiano,Brazil,991256.0
2,Basta Você Me Ligar - Ao Vivo,2021-01-01,"Os Barões Da Pisadinha, Xand Avião",Brazil,1263779.0
5,Investe Em Mim,2021-01-01,Jonas Esticado,Brazil,1052844.0
4,Meia Noite (Você tem meu Whatsapp),2021-01-01,Tarcísio do Acordeon,Brazil,1100935.0
3,Amor ou o Litrão,2021-01-01,"Petter Ferraz, Menor Nico",Brazil,1181284.0
6,Tá Rocheda,2021-01-01,Os Barões Da Pisadinha,Brazil,999345.0
9,Amor da Despedida,2021-01-02,"Os Barões Da Pisadinha, Fernando & Sorocaba",Brazil,565435.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-02,Tarcísio do Acordeon,Brazil,751199.0
3,MODO TURBO,2021-01-02,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,707637.0
4,Amor ou o Litrão,2021-01-02,"Petter Ferraz, Menor Nico",Brazil,702616.0
5,Basta Você Me Ligar - Ao Vivo,2021-01-02,"Os Barões Da Pisadinha, Xand Avião",Brazil,686147.0
6,Investe Em Mim,2021-01-02,Jonas Esticado,Brazil,656969.0
7,Lance Individual,2021-01-02,Jorge & Mateus,Brazil,649691.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-02,Zé Neto & Cristiano,Brazil,630000.0
1,Recairei - Ao Vivo,2021-01-02,Os Barões Da Pisadinha,Brazil,873301.0
10,"Ele É Ele, Eu Sou Eu",2021-01-02,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,551706.0
1,Recairei - Ao Vivo,2021-01-03,Os Barões Da Pisadinha,Brazil,806828.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-03,Tarcísio do Acordeon,Brazil,718301.0
3,MODO TURBO,2021-01-03,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,659060.0
4,Amor ou o Litrão,2021-01-03,"Petter Ferraz, Menor Nico",Brazil,653974.0
5,Basta Você Me Ligar - Ao Vivo,2021-01-03,"Os Barões Da Pisadinha, Xand Avião",Brazil,635062.0
6,Investe Em Mim,2021-01-03,Jonas Esticado,Brazil,627460.0
7,Lance Individual,2021-01-03,Jorge & Mateus,Brazil,623493.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-03,Zé Neto & Cristiano,Brazil,602116.0
9,Amor da Despedida,2021-01-03,"Os Barões Da Pisadinha, Fernando & Sorocaba",Brazil,535304.0
10,"Ele É Ele, Eu Sou Eu",2021-01-03,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,529956.0
5,Lance Individual,2021-01-04,Jorge & Mateus,Brazil,492660.0
10,Só Tem Eu,2021-01-04,Zé Felipe,Brazil,398563.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-04,Zé Neto & Cristiano,Brazil,439957.0
8,Investe Em Mim,2021-01-04,Jonas Esticado,Brazil,451228.0
7,ALÔ AMBEV - funk remix,2021-01-04,DJ Lucas Beat,Brazil,452407.0
1,MODO TURBO,2021-01-04,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,717103.0
4,Amor ou o Litrão,2021-01-04,"Petter Ferraz, Menor Nico",Brazil,526598.0
3,Recairei - Ao Vivo,2021-01-04,Os Barões Da Pisadinha,Brazil,551876.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-04,Tarcísio do Acordeon,Brazil,625372.0
6,Basta Você Me Ligar - Ao Vivo,2021-01-04,"Os Barões Da Pisadinha, Xand Avião",Brazil,458803.0
3,Recairei - Ao Vivo,2021-01-05,Os Barões Da Pisadinha,Brazil,544076.0
1,MODO TURBO,2021-01-05,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,715246.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-05,Tarcísio do Acordeon,Brazil,645958.0
4,Amor ou o Litrão,2021-01-05,"Petter Ferraz, Menor Nico",Brazil,524237.0
5,Lance Individual,2021-01-05,Jorge & Mateus,Brazil,492571.0
6,ALÔ AMBEV - funk remix,2021-01-05,DJ Lucas Beat,Brazil,461980.0
7,Basta Você Me Ligar - Ao Vivo,2021-01-05,"Os Barões Da Pisadinha, Xand Avião",Brazil,451396.0
8,Investe Em Mim,2021-01-05,Jonas Esticado,Brazil,438526.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-05,Zé Neto & Cristiano,Brazil,430961.0
10,Rainha da Favela,2021-01-05,LUDMILLA,Brazil,401934.0
10,Rainha da Favela,2021-01-06,LUDMILLA,Brazil,406459.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-06,Zé Neto & Cristiano,Brazil,436654.0
8,ALÔ AMBEV - funk remix,2021-01-06,DJ Lucas Beat,Brazil,449762.0
7,Investe Em Mim,2021-01-06,Jonas Esticado,Brazil,450932.0
6,Basta Você Me Ligar - Ao Vivo,2021-01-06,"Os Barões Da Pisadinha, Xand Avião",Brazil,458374.0
4,Amor ou o Litrão,2021-01-06,"Petter Ferraz, Menor Nico",Brazil,527205.0
3,Recairei - Ao Vivo,2021-01-06,Os Barões Da Pisadinha,Brazil,554655.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-06,Tarcísio do Acordeon,Brazil,656227.0
1,MODO TURBO,2021-01-06,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,722078.0
5,Lance Individual,2021-01-06,Jorge & Mateus,Brazil,509259.0
5,Lance Individual,2021-01-07,Jorge & Mateus,Brazil,546040.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-07,Zé Neto & Cristiano,Brazil,479559.0
10,Só Tem Eu,2021-01-07,Zé Felipe,Brazil,410643.0
4,Amor ou o Litrão,2021-01-07,"Petter Ferraz, Menor Nico",Brazil,546386.0
6,Basta Você Me Ligar - Ao Vivo,2021-01-07,"Os Barões Da Pisadinha, Xand Avião",Brazil,490541.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-07,Tarcísio do Acordeon,Brazil,696000.0
3,Recairei - Ao Vivo,2021-01-07,Os Barões Da Pisadinha,Brazil,588667.0
8,Investe Em Mim,2021-01-07,Jonas Esticado,Brazil,472511.0
9,"Ele É Ele, Eu Sou Eu",2021-01-07,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,469254.0
1,MODO TURBO,2021-01-07,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,714617.0
9,Investe Em Mim,2021-01-08,Jonas Esticado,Brazil,554302.0
10,Figurinha - Ao Vivo,2021-01-08,"Douglas & Vinicius, MC Bruninho",Brazil,499094.0
7,Basta Você Me Ligar - Ao Vivo,2021-01-08,"Os Barões Da Pisadinha, Xand Avião",Brazil,588627.0
6,"Ele É Ele, Eu Sou Eu",2021-01-08,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,591278.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-08,Zé Neto & Cristiano,Brazil,581194.0
4,Lance Individual,2021-01-08,Jorge & Mateus,Brazil,644363.0
3,Recairei - Ao Vivo,2021-01-08,Os Barões Da Pisadinha,Brazil,700745.0
2,MODO TURBO,2021-01-08,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,784010.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-08,Tarcísio do Acordeon,Brazil,826210.0
5,Amor ou o Litrão,2021-01-08,"Petter Ferraz, Menor Nico",Brazil,641794.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-09,Tarcísio do Acordeon,Brazil,999331.0
2,Recairei - Ao Vivo,2021-01-09,Os Barões Da Pisadinha,Brazil,944154.0
3,MODO TURBO,2021-01-09,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,818393.0
4,"Ele É Ele, Eu Sou Eu",2021-01-09,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,800150.0
5,Lance Individual,2021-01-09,Jorge & Mateus,Brazil,797272.0
6,Amor ou o Litrão,2021-01-09,"Petter Ferraz, Menor Nico",Brazil,797265.0
7,Basta Você Me Ligar - Ao Vivo,2021-01-09,"Os Barões Da Pisadinha, Xand Avião",Brazil,773239.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-09,Zé Neto & Cristiano,Brazil,752921.0
10,Figurinha - Ao Vivo,2021-01-09,"Douglas & Vinicius, MC Bruninho",Brazil,646770.0
9,Investe Em Mim,2021-01-09,Jonas Esticado,Brazil,725489.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-10,Tarcísio do Acordeon,Brazil,855591.0
2,Recairei - Ao Vivo,2021-01-10,Os Barões Da Pisadinha,Brazil,849738.0
3,"Ele É Ele, Eu Sou Eu",2021-01-10,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,721220.0
4,Amor ou o Litrão,2021-01-10,"Petter Ferraz, Menor Nico",Brazil,701667.0
5,Basta Você Me Ligar - Ao Vivo,2021-01-10,"Os Barões Da Pisadinha, Xand Avião",Brazil,690320.0
6,Lance Individual,2021-01-10,Jorge & Mateus,Brazil,686381.0
7,MODO TURBO,2021-01-10,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,675037.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-10,Zé Neto & Cristiano,Brazil,662017.0
9,Investe Em Mim,2021-01-10,Jonas Esticado,Brazil,646841.0
10,Figurinha - Ao Vivo,2021-01-10,"Douglas & Vinicius, MC Bruninho",Brazil,563323.0
10,Mds,2021-01-11,"Kawe, Mc Lele JP",Brazil,400576.0
9,Investe Em Mim,2021-01-11,Jonas Esticado,Brazil,432888.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-11,Zé Neto & Cristiano,Brazil,454556.0
7,Basta Você Me Ligar - Ao Vivo,2021-01-11,"Os Barões Da Pisadinha, Xand Avião",Brazil,454594.0
6,"Ele É Ele, Eu Sou Eu",2021-01-11,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,488233.0
4,Lance Individual,2021-01-11,Jorge & Mateus,Brazil,506909.0
3,Recairei - Ao Vivo,2021-01-11,Os Barões Da Pisadinha,Brazil,538611.0
2,MODO TURBO,2021-01-11,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,653639.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-11,Tarcísio do Acordeon,Brazil,666387.0
5,Amor ou o Litrão,2021-01-11,"Petter Ferraz, Menor Nico",Brazil,503955.0
9,Investe Em Mim,2021-01-12,Jonas Esticado,Brazil,437428.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-12,Tarcísio do Acordeon,Brazil,673680.0
2,MODO TURBO,2021-01-12,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,652275.0
3,Recairei - Ao Vivo,2021-01-12,Os Barões Da Pisadinha,Brazil,536321.0
4,Lance Individual,2021-01-12,Jorge & Mateus,Brazil,511066.0
5,Amor ou o Litrão,2021-01-12,"Petter Ferraz, Menor Nico",Brazil,498187.0
7,Basta Você Me Ligar - Ao Vivo,2021-01-12,"Os Barões Da Pisadinha, Xand Avião",Brazil,454132.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-12,Zé Neto & Cristiano,Brazil,451725.0
10,Mds,2021-01-12,"Kawe, Mc Lele JP",Brazil,426391.0
6,"Ele É Ele, Eu Sou Eu",2021-01-12,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,492339.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-13,Tarcísio do Acordeon,Brazil,660497.0
3,Recairei - Ao Vivo,2021-01-13,Os Barões Da Pisadinha,Brazil,539527.0
4,Lance Individual,2021-01-13,Jorge & Mateus,Brazil,513063.0
5,"Ele É Ele, Eu Sou Eu",2021-01-13,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,488219.0
6,Amor ou o Litrão,2021-01-13,"Petter Ferraz, Menor Nico",Brazil,487149.0
7,Basta Você Me Ligar - Ao Vivo,2021-01-13,"Os Barões Da Pisadinha, Xand Avião",Brazil,453443.0
8,Mds,2021-01-13,"Kawe, Mc Lele JP",Brazil,452670.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-13,Zé Neto & Cristiano,Brazil,448197.0
10,Investe Em Mim,2021-01-13,Jonas Esticado,Brazil,440661.0
2,MODO TURBO,2021-01-13,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,639377.0
10,Basta Você Me Ligar - Ao Vivo,2021-01-14,"Os Barões Da Pisadinha, Xand Avião",Brazil,463415.0
9,Investe Em Mim,2021-01-14,Jonas Esticado,Brazil,468820.0
2,MODO TURBO,2021-01-14,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,656974.0
8,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-14,Zé Neto & Cristiano,Brazil,486457.0
7,Amor ou o Litrão,2021-01-14,"Petter Ferraz, Menor Nico",Brazil,501670.0
6,Mds,2021-01-14,"Kawe, Mc Lele JP",Brazil,517845.0
5,Lance Individual,2021-01-14,Jorge & Mateus,Brazil,538754.0
4,Recairei - Ao Vivo,2021-01-14,Os Barões Da Pisadinha,Brazil,560976.0
3,"Ele É Ele, Eu Sou Eu",2021-01-14,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,564098.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-14,Tarcísio do Acordeon,Brazil,706339.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-15,Zé Neto & Cristiano,Brazil,585307.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-15,Tarcísio do Acordeon,Brazil,805037.0
2,"Ele É Ele, Eu Sou Eu",2021-01-15,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,749135.0
3,MODO TURBO,2021-01-15,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,714357.0
4,Recairei - Ao Vivo,2021-01-15,Os Barões Da Pisadinha,Brazil,648988.0
9,Investe Em Mim,2021-01-15,Jonas Esticado,Brazil,549410.0
6,Mds,2021-01-15,"Kawe, Mc Lele JP",Brazil,613516.0
8,Amor ou o Litrão,2021-01-15,"Petter Ferraz, Menor Nico",Brazil,571315.0
5,Lance Individual,2021-01-15,Jorge & Mateus,Brazil,637628.0
10,Basta Você Me Ligar - Ao Vivo,2021-01-15,"Os Barões Da Pisadinha, Xand Avião",Brazil,518827.0
10,Mds,2021-01-16,"Kawe, Mc Lele JP",Brazil,658840.0
8,Investe Em Mim,2021-01-16,Jonas Esticado,Brazil,692556.0
7,Amor ou o Litrão,2021-01-16,"Petter Ferraz, Menor Nico",Brazil,713177.0
6,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-16,Zé Neto & Cristiano,Brazil,744773.0
9,Basta Você Me Ligar - Ao Vivo,2021-01-16,"Os Barões Da Pisadinha, Xand Avião",Brazil,677071.0
5,MODO TURBO,2021-01-16,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,754742.0
4,Lance Individual,2021-01-16,Jorge & Mateus,Brazil,774372.0
3,Recairei - Ao Vivo,2021-01-16,Os Barões Da Pisadinha,Brazil,863512.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-16,Tarcísio do Acordeon,Brazil,976811.0
1,"Ele É Ele, Eu Sou Eu",2021-01-16,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,984442.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-17,Tarcísio do Acordeon,Brazil,825187.0
3,Recairei - Ao Vivo,2021-01-17,Os Barões Da Pisadinha,Brazil,763777.0
4,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-17,Zé Neto & Cristiano,Brazil,648241.0
5,Lance Individual,2021-01-17,Jorge & Mateus,Brazil,646278.0
6,MODO TURBO,2021-01-17,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,614755.0
7,Amor ou o Litrão,2021-01-17,"Petter Ferraz, Menor Nico",Brazil,614574.0
8,Investe Em Mim,2021-01-17,Jonas Esticado,Brazil,600072.0
9,Basta Você Me Ligar - Ao Vivo,2021-01-17,"Os Barões Da Pisadinha, Xand Avião",Brazil,598751.0
1,"Ele É Ele, Eu Sou Eu",2021-01-17,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,874359.0
10,Mds,2021-01-17,"Kawe, Mc Lele JP",Brazil,555995.0
2,"Ele É Ele, Eu Sou Eu",2021-01-18,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,619459.0
3,MODO TURBO,2021-01-18,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,603845.0
4,Mds,2021-01-18,"Kawe, Mc Lele JP",Brazil,577113.0
5,Lance Individual,2021-01-18,Jorge & Mateus,Brazil,491832.0
6,Recairei - Ao Vivo,2021-01-18,Os Barões Da Pisadinha,Brazil,488205.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-18,Zé Neto & Cristiano,Brazil,461533.0
8,Amor ou o Litrão,2021-01-18,"Petter Ferraz, Menor Nico",Brazil,446901.0
9,Investe Em Mim,2021-01-18,Jonas Esticado,Brazil,422230.0
10,Maçã Verde,2021-01-18,MC Hariel,Brazil,414575.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-18,Tarcísio do Acordeon,Brazil,634408.0
2,"Ele É Ele, Eu Sou Eu",2021-01-19,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,629118.0
10,Investe Em Mim,2021-01-19,Jonas Esticado,Brazil,424474.0
3,MODO TURBO,2021-01-19,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,614121.0
4,Mds,2021-01-19,"Kawe, Mc Lele JP",Brazil,608800.0
5,Lance Individual,2021-01-19,Jorge & Mateus,Brazil,504283.0
6,Recairei - Ao Vivo,2021-01-19,Os Barões Da Pisadinha,Brazil,492894.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-19,Zé Neto & Cristiano,Brazil,465075.0
8,Amor ou o Litrão,2021-01-19,"Petter Ferraz, Menor Nico",Brazil,451301.0
1,Meia Noite (Você tem meu Whatsapp),2021-01-19,Tarcísio do Acordeon,Brazil,647770.0
9,Maçã Verde,2021-01-19,MC Hariel,Brazil,424732.0
9,Investe Em Mim,2021-01-20,Jonas Esticado,Brazil,442538.0
1,"Ele É Ele, Eu Sou Eu",2021-01-20,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,720421.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-20,Tarcísio do Acordeon,Brazil,662411.0
3,MODO TURBO,2021-01-20,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,618574.0
4,Mds,2021-01-20,"Kawe, Mc Lele JP",Brazil,615409.0
5,Lance Individual,2021-01-20,Jorge & Mateus,Brazil,530082.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-20,Zé Neto & Cristiano,Brazil,485004.0
8,Amor ou o Litrão,2021-01-20,"Petter Ferraz, Menor Nico",Brazil,461794.0
10,Maçã Verde,2021-01-20,MC Hariel,Brazil,440915.0
6,Recairei - Ao Vivo,2021-01-20,Os Barões Da Pisadinha,Brazil,517428.0
6,Recairei - Ao Vivo,2021-01-21,Os Barões Da Pisadinha,Brazil,524812.0
10,Investe Em Mim,2021-01-21,Jonas Esticado,Brazil,447237.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-21,Tarcísio do Acordeon,Brazil,670666.0
3,Mds,2021-01-21,"Kawe, Mc Lele JP",Brazil,647456.0
4,MODO TURBO,2021-01-21,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,622059.0
1,"Ele É Ele, Eu Sou Eu",2021-01-21,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,684516.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-21,Zé Neto & Cristiano,Brazil,519311.0
8,Amor ou o Litrão,2021-01-21,"Petter Ferraz, Menor Nico",Brazil,464055.0
9,Maçã Verde,2021-01-21,MC Hariel,Brazil,461498.0
5,Lance Individual,2021-01-21,Jorge & Mateus,Brazil,542631.0
1,"Ele É Ele, Eu Sou Eu",2021-01-22,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,856957.0
10,Maçã Verde,2021-01-22,MC Hariel,Brazil,548451.0
9,Amor ou o Litrão,2021-01-22,"Petter Ferraz, Menor Nico",Brazil,563124.0
8,Facas - Ao Vivo,2021-01-22,"Diego & Victor Hugo, Bruno & Marrone",Brazil,587770.0
7,Recairei - Ao Vivo,2021-01-22,Os Barões Da Pisadinha,Brazil,655827.0
6,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-22,Zé Neto & Cristiano,Brazil,662984.0
4,Lance Individual,2021-01-22,Jorge & Mateus,Brazil,690570.0
3,Mds,2021-01-22,"Kawe, Mc Lele JP",Brazil,738230.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-22,Tarcísio do Acordeon,Brazil,820061.0
5,MODO TURBO,2021-01-22,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,687326.0
10,Basta Você Me Ligar - Ao Vivo,2021-01-23,"Os Barões Da Pisadinha, Xand Avião",Brazil,686011.0
9,Amor ou o Litrão,2021-01-23,"Petter Ferraz, Menor Nico",Brazil,723675.0
8,MODO TURBO,2021-01-23,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,734115.0
7,Facas - Ao Vivo,2021-01-23,"Diego & Victor Hugo, Bruno & Marrone",Brazil,776258.0
4,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-23,Zé Neto & Cristiano,Brazil,866699.0
5,Lance Individual,2021-01-23,Jorge & Mateus,Brazil,849277.0
3,Recairei - Ao Vivo,2021-01-23,Os Barões Da Pisadinha,Brazil,896308.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-23,Tarcísio do Acordeon,Brazil,1014196.0
6,Mds,2021-01-23,"Kawe, Mc Lele JP",Brazil,783101.0
1,"Ele É Ele, Eu Sou Eu",2021-01-23,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,1119888.0
2,Meia Noite (Você tem meu Whatsapp),2021-01-24,Tarcísio do Acordeon,Brazil,837181.0
10,Basta Você Me Ligar - Ao Vivo,2021-01-24,"Os Barões Da Pisadinha, Xand Avião",Brazil,594794.0
9,Esquema Preferido,2021-01-24,"DJ Ivis, Tarcísio do Acordeon",Brazil,600460.0
8,Amor ou o Litrão,2021-01-24,"Petter Ferraz, Menor Nico",Brazil,603850.0
7,Mds,2021-01-24,"Kawe, Mc Lele JP",Brazil,633579.0
6,Facas - Ao Vivo,2021-01-24,"Diego & Victor Hugo, Bruno & Marrone",Brazil,656830.0
5,Lance Individual,2021-01-24,Jorge & Mateus,Brazil,682561.0
4,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-24,Zé Neto & Cristiano,Brazil,718185.0
3,Recairei - Ao Vivo,2021-01-24,Os Barões Da Pisadinha,Brazil,767080.0
1,"Ele É Ele, Eu Sou Eu",2021-01-24,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,959474.0
6,Lance Individual,2021-01-25,Jorge & Mateus,Brazil,519412.0
5,MODO TURBO,2021-01-25,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,556042.0
10,Maçã Verde,2021-01-25,MC Hariel,Brazil,448510.0
9,Facas - Ao Vivo,2021-01-25,"Diego & Victor Hugo, Bruno & Marrone",Brazil,491799.0
8,Recairei - Ao Vivo,2021-01-25,Os Barões Da Pisadinha,Brazil,507838.0
4,Esquema Preferido,2021-01-25,"DJ Ivis, Tarcísio do Acordeon",Brazil,567835.0
3,Meia Noite (Você tem meu Whatsapp),2021-01-25,Tarcísio do Acordeon,Brazil,651657.0
2,Mds,2021-01-25,"Kawe, Mc Lele JP",Brazil,667918.0
1,"Ele É Ele, Eu Sou Eu",2021-01-25,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,674353.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-25,Zé Neto & Cristiano,Brazil,512943.0
6,Lance Individual,2021-01-26,Jorge & Mateus,Brazil,513776.0
9,Recairei - Ao Vivo,2021-01-26,Os Barões Da Pisadinha,Brazil,477755.0
8,Facas - Ao Vivo,2021-01-26,"Diego & Victor Hugo, Bruno & Marrone",Brazil,491073.0
7,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-26,Zé Neto & Cristiano,Brazil,496340.0
10,M4,2021-01-26,"Teto, Matuê",Brazil,461822.0
5,MODO TURBO,2021-01-26,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,560530.0
4,Esquema Preferido,2021-01-26,"DJ Ivis, Tarcísio do Acordeon",Brazil,594770.0
3,Meia Noite (Você tem meu Whatsapp),2021-01-26,Tarcísio do Acordeon,Brazil,635023.0
2,"Ele É Ele, Eu Sou Eu",2021-01-26,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,658714.0
1,Mds,2021-01-26,"Kawe, Mc Lele JP",Brazil,682172.0
1,"Ele É Ele, Eu Sou Eu",2021-01-27,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,721019.0
8,Lance Individual,2021-01-27,Jorge & Mateus,Brazil,543979.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-27,Zé Neto & Cristiano,Brazil,524009.0
2,Mds,2021-01-27,"Kawe, Mc Lele JP",Brazil,710265.0
3,Meia Noite (Você tem meu Whatsapp),2021-01-27,Tarcísio do Acordeon,Brazil,668241.0
6,MODO TURBO,2021-01-27,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,573653.0
7,Facas - Ao Vivo,2021-01-27,"Diego & Victor Hugo, Bruno & Marrone",Brazil,573106.0
5,M4,2021-01-27,"Teto, Matuê",Brazil,627489.0
4,Esquema Preferido,2021-01-27,"DJ Ivis, Tarcísio do Acordeon",Brazil,641043.0
10,Recairei - Ao Vivo,2021-01-27,Os Barões Da Pisadinha,Brazil,502482.0
2,Mds,2021-01-28,"Kawe, Mc Lele JP",Brazil,721519.0
3,Esquema Preferido,2021-01-28,"DJ Ivis, Tarcísio do Acordeon",Brazil,717058.0
5,Facas - Ao Vivo,2021-01-28,"Diego & Victor Hugo, Bruno & Marrone",Brazil,621812.0
10,Recairei - Ao Vivo,2021-01-28,Os Barões Da Pisadinha,Brazil,521436.0
9,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-28,Zé Neto & Cristiano,Brazil,548685.0
7,MODO TURBO,2021-01-28,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,580158.0
6,M4,2021-01-28,"Teto, Matuê",Brazil,609303.0
1,"Ele É Ele, Eu Sou Eu",2021-01-28,"Wesley Safadão, Os Barões Da Pisadinha",Brazil,726901.0
8,Lance Individual,2021-01-28,Jorge & Mateus,Brazil,568729.0
4,Meia Noite (Você tem meu Whatsapp),2021-01-28,Tarcísio do Acordeon,Brazil,697621.0
4,Mds,2021-01-29,"Kawe, Mc Lele JP",Brazil,795566.0
10,Recairei - Ao Vivo,2021-01-29,Os Barões Da Pisadinha,Brazil,613393.0
9,MODO TURBO,2021-01-29,"Luísa Sonza, Pabllo Vittar, Anitta",Brazil,642411.0
8,M4,2021-01-29,"Teto, Matuê",Brazil,643233.0
7,Lance Individual,2021-01-29,Jorge & Mateus,Brazil,671172.0
6,Alô Ambev (Segue Sua Vida) - Ao Vivo,2021-01-29,Zé Neto & Cristiano,Brazil,681133.0
5,Facas - Ao Vivo,2021-01-29,"Diego & Victor Hugo, Bruno & Marrone",Brazil,769760.0
3,Meia Noite (Você tem meu Whatsapp),2021-01-29,Tarcísio do Acordeon,Brazil,823468.0
